date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:25:11	4513695/4513695	---M--	200	added ('OK')	application/pdf	etag:%2244df9f-59c1e9a0d8a10%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pdf/07NetworkFlowI-2x2.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pdf/07NetworkFlowI-2x2.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/)
19:25:12	6178130/6178130	---M--	200	added ('OK')	application/pdf	etag:%225e4552-59c2ef15b723f%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pdf/06DynamicProgrammingII-2x2.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pdf/06DynamicProgrammingII-2x2.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/)
19:25:36	2295730/2295730	---M--	200	added ('OK')	application/pdf	etag:%222307b2-59f6d0b452d6f%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pdf/08IntractabilityI-2x2.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pdf/08IntractabilityI-2x2.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/)
19:25:37	5007795/5007795	---M--	200	added ('OK')	application/pdf	etag:%224c69b3-59c1e9a96648f%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pdf/07NetworkFlowIII-2x2.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pdf/07NetworkFlowIII-2x2.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/)
19:26:31	12033795/12033795	---M--	200	added ('OK')	application/pdf	etag:%22b79f03-59c1e9a54d05a%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pdf/07NetworkFlowII-2x2.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pdf/07NetworkFlowII-2x2.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/)
19:26:36	342812/342812	---M--	200	added ('OK')	application/pdf	etag:%2253b1c-56b720201328b%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pdf/DemoGreedyIndependentSetTrees.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pdf/DemoGreedyIndependentSetTrees.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/)
19:26:40	300948/300948	---M--	200	added ('OK')	application/pdf	etag:%2249794-56b720201a017%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pdf/DemoGreedyVertexCover.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pdf/DemoGreedyVertexCover.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/)
19:26:46	432281/432281	---M--	200	added ('OK')	application/pdf	etag:%2269899-56b72015734af%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pdf/09PSPACE-2x2.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pdf/09PSPACE-2x2.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/)
19:26:55	517253/517253	---M--	200	added ('OK')	application/pdf	etag:%227e485-56b72016cc437%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pdf/10ExtendingTractability-2x2.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pdf/10ExtendingTractability-2x2.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/)
19:26:56	25701263/25701263	---M--	200	added ('OK')	application/pdf	etag:%221882b8f-59f6d0b50e728%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pdf/08IntractabilityII-2x2.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pdf/08IntractabilityII-2x2.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/)
